                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.72519,                 1.9279,                 1.0763,                 1.1503,                0.72162,                0.59086,                0.69596,                0.48548,                0.67414,                0.54242,                0.65718,                0.46017,                 1.0765,                0.88915,                 1.1413,                 1.8068,               0.008482,               0.008482,               0.008482
                     48,                0.72068,                 2.0368,                 1.0829,                 1.1409,                0.63423,                0.61357,                 0.6825,                0.48612,                 0.5906,                0.54644,                0.61956,                0.42159,                 1.1651,                0.98964,                 1.2109,                 1.9256,               0.008449,               0.008449,               0.008449
                     49,                0.73062,                 1.9536,                 1.0688,                 1.1582,                0.62656,                0.54755,                0.64699,                0.41182,                0.61097,                0.45565,                0.60071,                0.38698,                 1.0941,                 0.8492,                  1.182,                 1.8714,               0.008416,               0.008416,               0.008416
                     50,                0.71736,                 1.8756,                  1.071,                 1.1479,                0.54418,                0.66132,                0.59518,                0.38625,                0.51635,                0.62427,                0.56344,                0.35182,                 1.2582,                0.94784,                 1.3724,                 2.0363,               0.008383,               0.008383,               0.008383
                     51,                0.72551,                  1.922,                 1.0749,                  1.156,                0.51785,                0.69607,                0.63634,                0.43637,                0.47699,                0.63976,                0.58726,                0.37759,                 1.0728,                0.98154,                 1.3024,                 1.8423,                0.00835,                0.00835,                0.00835
                     52,                0.73301,                 1.9902,                 1.0932,                  1.161,                 0.4481,                 0.7534,                0.67417,                0.39161,                0.38883,                0.67479,                0.58821,                0.35969,                 1.3545,                 1.1053,                 1.2899,                 2.1241,               0.008317,               0.008317,               0.008317
                     53,                0.73133,                 1.9602,                 1.0774,                 1.1596,                0.53054,                0.58575,                0.56569,                0.35119,                0.49469,                0.52799,                0.51147,                0.31446,                 1.2313,                0.99518,                 1.4167,                 1.9781,               0.008284,               0.008284,               0.008284
                     54,                0.71594,                 1.9541,                 1.0507,                 1.1466,                0.52385,                0.66673,                0.60488,                0.39096,                0.50727,                0.63715,                0.57967,                0.36044,                 1.2132,                0.84895,                 1.3195,                 1.8735,               0.008251,               0.008251,               0.008251
                     55,                0.71338,                 1.9613,                 1.0609,                 1.1428,                0.56234,                0.72032,                0.66468,                 0.4497,                0.51902,                0.65761,                0.60143,                0.39511,                  1.002,                0.91242,                 1.1837,                 1.7586,               0.008218,               0.008218,               0.008218
                     56,                0.70598,                  1.965,                 1.0362,                 1.1288,                0.67517,                0.51603,                0.63106,                0.41858,                0.62836,                0.45618,                0.57506,                0.41492,                 1.1349,                0.80455,                 1.2493,                  1.914,               0.008185,               0.008185,               0.008185
                     57,                0.71243,                 1.9735,                 1.0387,                  1.141,                0.62379,                0.56821,                0.64732,                0.41035,                 0.5758,                0.52666,                0.59966,                 0.3721,                 1.2064,                 1.2296,                 1.3022,                 1.9694,               0.008152,               0.008152,               0.008152
                     58,                 0.7075,                 1.8881,                 1.0322,                 1.1413,                0.68011,                0.69966,                0.73974,                  0.503,                0.62806,                 0.6403,                0.67683,                0.46364,                 1.0822,                0.74933,                 1.0794,                 1.8371,               0.008119,               0.008119,               0.008119
                     59,                0.71188,                 1.8993,                 1.0322,                 1.1411,                0.52684,                0.65016,                 0.6423,                0.42527,                0.49603,                0.60081,                0.60082,                0.40251,                  1.108,                0.86244,                 1.2535,                 1.8546,               0.008086,               0.008086,               0.008086
                     60,                0.69986,                 1.8771,                 1.0273,                  1.136,                0.70307,                0.57666,                0.72414,                0.47112,                0.64403,                0.51034,                0.64963,                0.43169,                 1.2247,                0.84856,                 1.2773,                 2.1553,               0.008053,               0.008053,               0.008053
                     61,                0.70559,                 1.9725,                 1.0247,                 1.1295,                0.66253,                0.71017,                0.76432,                0.51663,                0.60666,                0.63416,                0.69329,                 0.4696,                 1.1465,                0.87599,                 1.1534,                 1.9495,                0.00802,                0.00802,                0.00802
                     62,                 0.7122,                 1.9234,                 1.0093,                 1.1428,                0.58477,                0.60219,                0.67707,                0.44559,                0.54978,                0.55385,                0.61369,                0.36103,                 1.1385,                 1.1708,                 1.1662,                 1.8815,               0.007987,               0.007987,               0.007987
                     63,                0.70404,                 1.8479,                 1.0027,                 1.1327,                0.72558,                0.73309,                0.74358,                0.53174,                0.67786,                0.67777,                0.68747,                0.48222,                0.99642,                 0.7131,                 1.0008,                  1.732,               0.007954,               0.007954,               0.007954
                     64,                0.71194,                 1.9169,                 1.0098,                 1.1401,                0.60727,                0.67745,                0.73618,                0.50768,                0.56016,                0.61733,                0.68395,                0.44008,                 1.1166,                0.85206,                 1.0947,                 1.8912,               0.007921,               0.007921,               0.007921
                     65,                0.70586,                 1.8912,                 1.0082,                 1.1354,                0.48244,                0.68531,                 0.6866,                0.47944,                 0.4305,                0.61882,                0.62422,                 0.4052,                 1.0609,                0.79108,                 1.1624,                 1.8328,               0.007888,               0.007888,               0.007888
                     66,                0.71488,                 1.8852,                 1.0079,                 1.1398,                0.69943,                0.59295,                0.68665,                0.41982,                0.66137,                0.53456,                0.65588,                0.41923,                 1.2985,                0.86046,                 1.2544,                 2.0167,               0.007855,               0.007855,               0.007855
                     67,                0.70458,                 1.9012,                 0.9919,                 1.1287,                0.56707,                0.56045,                0.63644,                0.44176,                0.53706,                0.51937,                0.60569,                0.40642,                  1.121,                0.82875,                 1.2683,                  1.909,               0.007822,               0.007822,               0.007822
                     68,                0.69142,                 1.9471,                0.98757,                 1.1215,                0.49021,                0.64912,                0.64349,                0.44075,                0.45094,                0.59923,                0.58225,                0.41392,                 1.1776,                 1.0239,                 1.2866,                 1.8989,               0.007789,               0.007789,               0.007789
