                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.61691,                 1.6501,                 1.0255,                 1.0426,                0.71478,                0.74264,                0.84419,                0.65169,                0.74556,                0.76598,                0.87147,                0.62658,                0.87011,                  1.112,                 1.0165,                 1.5706,               0.008779,               0.008779,               0.008779
                     39,                 0.6187,                 1.6683,                 1.0193,                 1.0559,                0.73319,                0.77541,                0.81887,                0.62142,                0.77611,                0.72927,                0.79912,                0.60245,                0.91358,                 1.2781,                  1.131,                 1.6878,               0.008746,               0.008746,               0.008746
                     40,                0.61083,                 1.5991,                0.98894,                 1.0499,                0.64139,                0.77383,                0.80955,                0.60437,                0.66477,                0.74021,                0.80271,                0.54331,                0.95926,                 1.4308,                  1.123,                 1.7394,               0.008713,               0.008713,               0.008713
                     41,                0.60601,                 1.6118,                0.95743,                 1.0384,                0.59554,                0.79382,                0.76767,                0.59898,                0.62073,                0.81612,                0.77735,                 0.5777,                0.88291,                  1.098,                 1.0241,                 1.6112,                0.00868,                0.00868,                0.00868
                     42,                0.59855,                 1.5889,                 0.9487,                 1.0398,                0.67008,                0.70344,                0.73303,                0.53459,                0.68952,                0.73627,                0.75943,                0.51983,                0.96004,                 1.3666,                 1.2357,                 1.6796,               0.008647,               0.008647,               0.008647
                     43,                0.60296,                 1.5956,                0.94974,                 1.0397,                 0.6721,                0.70542,                0.80201,                 0.6229,                0.67697,                0.70653,                0.79125,                0.61844,                0.83161,                 1.1574,                 1.0232,                 1.5223,               0.008614,               0.008614,               0.008614
                     44,                 0.5967,                 1.5569,                0.93555,                 1.0311,                0.70204,                0.77188,                0.82948,                 0.6495,                0.67773,                0.75607,                0.81686,                0.59292,                0.87458,                 1.2758,                 1.0794,                 1.5456,               0.008581,               0.008581,               0.008581
                     45,                0.59557,                 1.5234,                0.92731,                 1.0363,                0.74007,                0.88801,                0.90513,                 0.6792,                0.73235,                0.87211,                0.89126,                0.66562,                0.85929,                 1.1664,                0.97502,                 1.5608,               0.008548,               0.008548,               0.008548
                     46,                0.59682,                 1.5707,                0.94163,                 1.0363,                0.58823,                0.86503,                0.82658,                0.62306,                 0.6898,                0.66007,                0.79666,                0.56352,                 0.9064,                 1.4789,                 1.2323,                  1.618,               0.008515,               0.008515,               0.008515
                     47,                0.59133,                 1.5694,                0.93058,                 1.0321,                0.73168,                 0.8016,                 0.8522,                0.66005,                0.73767,                0.80993,                0.85002,                0.63265,                0.91393,                 1.2439,                 1.0794,                 1.6544,               0.008482,               0.008482,               0.008482
                     48,                0.59425,                 1.5661,                0.92866,                 1.0298,                0.66597,                0.89253,                0.87069,                0.68061,                0.67217,                0.89919,                0.88568,                0.66653,                0.84998,                 1.1009,                 1.0174,                 1.6576,               0.008449,               0.008449,               0.008449
                     49,                0.57915,                 1.5469,                0.88964,                 1.0265,                0.75218,                0.79681,                0.88302,                0.65442,                0.76553,                0.81606,                0.88442,                0.68251,                0.87773,                0.98102,                 1.0034,                 1.6074,               0.008416,               0.008416,               0.008416
                     50,                0.60138,                 1.5337,                0.91027,                 1.0336,                0.77891,                0.86797,                0.89544,                0.69251,                0.75012,                 0.8363,                0.85959,                0.66905,                0.87738,                 1.4321,                0.96603,                 1.5724,               0.008383,               0.008383,               0.008383
                     51,                0.59197,                 1.5554,                0.89772,                 1.0369,                0.78782,                 0.7026,                0.84265,                0.62052,                0.79442,                0.71573,                0.84244,                0.63193,                0.91409,                 1.1343,                 1.1761,                 1.6269,                0.00835,                0.00835,                0.00835
                     52,                0.60322,                 1.5655,                0.91124,                 1.0347,                0.72057,                0.74211,                0.82338,                0.64009,                0.70941,                0.73878,                0.79549,                0.57027,                0.80381,                 1.6332,                 1.0899,                 1.5158,               0.008317,               0.008317,               0.008317
                     53,                0.59456,                 1.5518,                0.90262,                 1.0327,                 0.7844,                0.74936,                0.85242,                0.66256,                0.75461,                 0.7862,                0.86759,                0.66826,                0.81107,                0.88173,                0.98698,                 1.5187,               0.008284,               0.008284,               0.008284
                     54,                0.58985,                 1.4938,                0.86267,                 1.0303,                0.71266,                0.78348,                0.81816,                 0.6215,                0.71733,                0.78954,                0.82401,                0.62602,                 0.8501,                 1.0561,                 1.1507,                 1.5139,               0.008251,               0.008251,               0.008251
                     55,                0.59269,                 1.5457,                 0.8676,                 1.0252,                0.78624,                0.82685,                0.85003,                0.63318,                0.77764,                0.81852,                0.83232,                0.62611,                0.89203,                 1.0177,                0.95368,                 1.5444,               0.008218,               0.008218,               0.008218
                     56,                0.58465,                 1.5174,                0.85178,                 1.0213,                0.63418,                0.92152,                0.89194,                0.71198,                0.63619,                0.92264,                0.87183,                0.65476,                0.89792,                 1.1616,                0.89291,                 1.6549,               0.008185,               0.008185,               0.008185
                     57,                 0.5838,                 1.5316,                0.84066,                 1.0169,                0.72196,                0.73674,                0.83374,                0.65691,                0.82245,                0.66497,                0.84805,                0.63446,                0.87537,                 1.0779,                 1.0755,                 1.5688,               0.008152,               0.008152,               0.008152
                     58,                0.57968,                 1.5039,                0.82092,                 1.0169,                0.79321,                0.75903,                0.83997,                0.62399,                0.79153,                0.77361,                0.84148,                 0.6291,                0.87082,                 0.9715,                 1.0562,                 1.5569,               0.008119,               0.008119,               0.008119
                     59,                 0.5762,                 1.4882,                0.81733,                  1.014,                 0.7331,                0.81891,                0.88575,                0.71762,                0.74849,                0.82873,                0.89076,                0.69838,                0.80309,                 1.0352,                0.94609,                 1.4649,               0.008086,               0.008086,               0.008086
                     60,                0.57724,                 1.4718,                0.82834,                 1.0212,                0.80034,                0.74472,                0.83341,                0.65597,                0.80651,                0.74199,                0.83533,                0.63905,                0.84066,                 1.0281,                0.94445,                 1.5561,               0.008053,               0.008053,               0.008053
                     61,                0.56479,                 1.4952,                0.81565,                 1.0128,                0.70437,                0.88878,                0.90182,                0.70015,                0.70437,                0.88878,                0.89827,                0.66668,                0.83155,                0.99667,                0.92159,                  1.566,                0.00802,                0.00802,                0.00802
                     62,                0.58035,                 1.5007,                0.81718,                 1.0215,                0.65732,                0.91498,                0.89741,                0.69196,                0.65364,                0.90882,                0.88683,                0.69005,                0.81959,                 1.0558,                0.92325,                 1.5267,               0.007987,               0.007987,               0.007987
                     63,                0.57358,                 1.4946,                0.80147,                 1.0217,                0.70267,                0.85998,                0.84254,                 0.6716,                0.69657,                0.86013,                0.82702,                 0.6342,                0.81531,                 1.2724,                0.93238,                 1.5055,               0.007954,               0.007954,               0.007954
                     64,                0.57136,                 1.4511,                0.79797,                 1.0094,                0.68477,                0.93184,                0.89584,                 0.7172,                0.69396,                0.94518,                 0.9095,                0.70903,                0.76217,                0.88308,                0.81432,                 1.4146,               0.007921,               0.007921,               0.007921
                     65,                 0.5678,                 1.4636,                0.80422,                 1.0082,                0.70827,                0.74485,                0.82862,                0.66806,                0.69589,                0.77189,                0.80684,                0.63524,                0.83303,                 1.0416,                 1.0282,                 1.5631,               0.007888,               0.007888,               0.007888
                     66,                0.57712,                 1.4624,                0.78866,                 1.0187,                0.73102,                0.75739,                0.80844,                0.63713,                0.72194,                0.74722,                0.80397,                 0.6134,                0.83205,                 1.0147,                0.94571,                  1.525,               0.007855,               0.007855,               0.007855
                     67,                0.58729,                 1.4737,                0.79586,                 1.0187,                0.79899,                0.74365,                0.87444,                0.69083,                0.79141,                0.78002,                 0.8819,                0.66851,                0.78416,                 1.0823,                 1.0297,                  1.501,               0.007822,               0.007822,               0.007822
                     68,                0.57179,                 1.4656,                0.78784,                  1.014,                0.60749,                0.77322,                0.77943,                0.59674,                0.59967,                0.76899,                0.78145,                0.58337,                 0.9181,                 1.4835,                 1.2273,                 1.5921,               0.007789,               0.007789,               0.007789
                     69,                0.58239,                 1.4677,                0.78048,                 1.0169,                0.80384,                0.80261,                0.88945,                0.68502,                0.80175,                0.79261,                0.87687,                0.67405,                0.84346,                  1.147,                0.89755,                 1.5921,               0.007756,               0.007756,               0.007756
                     70,                0.57864,                 1.4563,                0.79337,                 1.0229,                0.82921,                0.83085,                0.90322,                 0.7187,                0.81222,                0.81418,                0.88979,                0.66351,                0.73272,                 1.1237,                0.86043,                 1.4751,               0.007723,               0.007723,               0.007723
                     71,                 0.5671,                 1.4633,                0.76667,                 1.0103,                0.66118,                0.89507,                0.87292,                0.64952,                0.67243,                 0.9084,                0.88193,                0.67325,                0.86084,                0.97877,                 1.0619,                 1.5438,                0.00769,                0.00769,                0.00769
                     72,                0.57788,                  1.435,                0.74555,                 1.0191,                0.80749,                0.74046,                0.78259,                0.60553,                0.80749,                0.74046,                0.79082,                0.58699,                0.82385,                 1.1264,                  1.084,                  1.562,               0.007657,               0.007657,               0.007657
                     73,                0.57288,                 1.4511,                0.78431,                 1.0146,                0.72218,                0.82679,                0.86336,                0.68708,                0.74455,                0.84398,                0.86967,                0.65775,                0.80996,                 1.2364,                0.93336,                 1.5492,               0.007624,               0.007624,               0.007624
                     74,                0.56502,                 1.4446,                0.76116,                  1.008,                0.72185,                0.86822,                0.90501,                0.72707,                0.72298,                0.86907,                0.89952,                0.70386,                0.77367,                 1.1172,                0.80968,                 1.5059,               0.007591,               0.007591,               0.007591
                     75,                0.56702,                 1.4441,                0.73193,                 1.0126,                0.76478,                0.90105,                0.91302,                0.70927,                0.79612,                0.91359,                0.92216,                0.70525,                0.81142,                0.99261,                0.81432,                 1.5435,               0.007558,               0.007558,               0.007558
                     76,                0.57307,                 1.4742,                0.75808,                 1.0181,                0.85468,                0.73567,                0.85288,                0.66031,                 0.8229,                0.70296,                0.81997,                0.61117,                0.82145,                 1.4887,                 0.9364,                 1.5416,               0.007525,               0.007525,               0.007525
                     77,                0.57203,                 1.4556,                0.73573,                 1.0106,                0.86918,                0.77584,                0.92311,                0.73946,                0.84173,                0.74282,                0.90782,                0.68513,                0.72916,                 1.1752,                0.73606,                 1.4862,               0.007492,               0.007492,               0.007492
                     78,                 0.5689,                 1.4258,                0.72765,                 1.0127,                0.76335,                0.86663,                0.89265,                0.71996,                0.77659,                0.87656,                0.89598,                0.66124,                0.77505,                 1.0512,                0.77975,                 1.4649,               0.007459,               0.007459,               0.007459
                     79,                0.56457,                 1.4126,                0.72238,                 1.0035,                0.82512,                0.75365,                0.87112,                0.70084,                0.82512,                0.75365,                 0.8726,                0.65849,                0.73996,                    1.1,                0.86865,                 1.4074,               0.007426,               0.007426,               0.007426
                     80,                0.56039,                 1.4313,                0.71264,                 1.0032,                0.82909,                0.76185,                0.86672,                0.71213,                0.83029,                0.77463,                0.86921,                0.68622,                0.76631,                 1.0001,                 0.8503,                 1.4619,               0.007393,               0.007393,               0.007393
                     81,                0.56112,                 1.4309,                0.71894,                 1.0072,                0.80162,                0.78579,                0.88416,                0.70957,                0.80421,                 0.7844,                 0.8912,                0.64075,                0.77649,                 1.2557,                0.90979,                 1.4876,                0.00736,                0.00736,                0.00736
                     82,                0.56817,                 1.4562,                0.73069,                 1.0108,                0.76965,                0.83103,                0.91819,                0.76275,                0.76045,                0.83434,                 0.9272,                0.74352,                0.78095,                0.98406,                0.87144,                 1.4721,               0.007327,               0.007327,               0.007327
                     83,                0.56954,                   1.44,                0.72883,                 1.0113,                0.71299,                0.81779,                0.88337,                 0.7142,                0.71299,                0.81779,                0.88549,                0.66512,                0.74532,                 1.0605,                0.89307,                 1.4779,               0.007294,               0.007294,               0.007294
                     84,                0.56062,                 1.4117,                0.71201,                  1.008,                0.82618,                0.78361,                0.90164,                0.73635,                0.83512,                0.74891,                0.88552,                0.67386,                0.74195,                 1.1426,                0.83254,                 1.4853,               0.007261,               0.007261,               0.007261
                     85,                0.57131,                   1.41,                0.71822,                 1.0089,                0.76868,                0.80463,                0.83576,                0.67928,                0.76868,                0.80463,                0.83576,                0.61745,                0.74018,                 1.0503,                0.84063,                 1.4643,               0.007228,               0.007228,               0.007228
